id,title,fact_scope,route_order,location_name,aliases,short_description,long_description,tags
1,Lab 52 Conference Room,tour_stop,0,Conference Room,lab 52|conference room|first stop|lectern|white board|black phone near door|phone|research|tell me about conference room|can you tell me about conference room|what is conference room|information about conference room|where is conference room|lab 52 conference room|tell me about lab 52 conference room|can you tell me about lab 52 conference room|what is lab 52 conference room|information about lab 52 conference room|where is lab 52 conference room,Welcome stop for the Lab 52 tour,"This is the first stop of the Lab 52 tour. Welcome to the conference room, where many teams meet to work on their research and projects. At this stop there is a lectern and a white board, and there is also a black phone near the door.",lab-52|conference-room|lectern|white-board|phone|research
2,Work Desk Row Start,tour_stop,1,Work Desk Row Start,desk row start|long row of desks|designated work desks|ramp|outlet desks|lab 52|work desks|outlets|workspace|work desk row start|tell me about work desk row start|can you tell me about work desk row start|what is work desk row start|information about work desk row start|where is work desk row start,Start of the long row of work desks,"This stop is where the long row of desks against the wall starts. Each desk has an outlet attached to the top for easy access. This desk stop is the designated work desk area, and there is also a ramp nearby that leads outside.",lab-52|work-desks|outlets|ramp|workspace
3,Work Desk Row End,tour_stop,2,Work Desk Row End,desk row end|end of desk row|meeting area desks|outlet desks|lab 52|work desks|outlets|meeting area|work desk row end|tell me about work desk row end|can you tell me about work desk row end|what is work desk row end|information about work desk row end|where is work desk row end,End of the long row of work desks,"This stop is at the end of the long row of desks against the wall near the meeting area. Much like the second stop, this area has similar amenities, including outlets attached to the tops of the desks.",lab-52|work-desks|outlets|meeting-area
4,Meeting Area Table,tour_stop,3,Meeting Area,meeting table|meeting area|extendable dividers|retractable dividers|presentation area|white board|lab 52|presentation|dividers|tell me about meeting area|can you tell me about meeting area|what is meeting area|information about meeting area|where is meeting area|meeting area table|tell me about meeting area table|can you tell me about meeting area table|what is meeting area table|information about meeting area table|where is meeting area table,Meeting table and presentation area,"This is the table of the meeting area. The dividers here are extendable and retractable. There is also a TV in this area so one person can share a screen and give presentations. Slightly outside the meeting area, there is another desk against the wall and another white board on this wall.",lab-52|meeting-area|presentation|tv|dividers|white-board
5,Tour Start and End Point,tour_stop,4,Start and End Point,final stop|end of tour|starting point|black phone|light switch|lab 52|phone|tour ending|start and end point|tell me about start and end point|can you tell me about start and end point|what is start and end point|information about start and end point|where is start and end point|tour start and end point|tell me about tour start and end point|can you tell me about tour start and end point|what is tour start and end point|information about tour start and end point|where is tour start and end point,Final stop at the original starting location,"This is the end of the tour, and it is also the location where the tour started. There is a black phone on the wall, and there is also the light switch.",lab-52|final-stop|phone|light-switch|tour-ending
9,CPP Identity,general,-1,Cal Poly Pomona,cpp|cal poly pomona|california state polytechnic university pomona|broncos|identity|csu|public university|general|tell me about cal poly pomona|can you tell me about cal poly pomona|what is cal poly pomona|information about cal poly pomona|tell me about cpp|can you tell me about cpp|what is cpp|cpp identity|tell me about cpp identity|can you tell me about cpp identity|what is cpp identity|information about cpp identity|cal poly pomona identity|tell me about cal poly pomona identity|can you tell me about cal poly pomona identity|what is cal poly pomona identity,Public polytechnic university,"Cal Poly Pomona is formally California State Polytechnic University, Pomona and is a campus of The California State University system.",identity|csu|public-university|general
10,CPP Founding History,general,-1,Cal Poly Pomona,cpp history|founding|san dimas|cal poly slo|history|1938|general|cal poly pomona|tell me about cal poly pomona|can you tell me about cal poly pomona|what is cal poly pomona|information about cal poly pomona|cpp|tell me about cpp|can you tell me about cpp|what is cpp|cpp founding history|tell me about cpp founding history|can you tell me about cpp founding history|what is cpp founding history|information about cpp founding history|cal poly pomona founding history|tell me about cal poly pomona founding history|can you tell me about cal poly pomona founding history|what is cal poly pomona founding history,Opened in 1938,"Cal Poly Pomona opened in 1938 in San Dimas as a satellite campus of California Polytechnic State University, San Luis Obispo. The Pomona campus separated from San Luis Obispo in 1966 and gained university status in 1972.",history|founding|1938|general
11,Kellogg Heritage,general,-1,Cal Poly Pomona,w.k. kellogg|kellogg ranch|kellogg house|arabian horse center|history|kellogg|heritage|general|cal poly pomona|tell me about cal poly pomona|can you tell me about cal poly pomona|what is cal poly pomona|information about cal poly pomona|cpp|tell me about cpp|can you tell me about cpp|what is cpp|kellogg heritage|tell me about kellogg heritage|can you tell me about kellogg heritage|what is kellogg heritage|information about kellogg heritage,Campus with Kellogg roots,"What is now the Cal Poly Pomona campus was once W.K. Kellogg's winter residence. Kellogg deeded more than 800 acres to the state of California, and the campus still preserves Kellogg connections through places such as the Kellogg House and the W.K. Kellogg Arabian Horse Center.",history|kellogg|heritage|general
12,Polytechnic Learning,general,-1,Cal Poly Pomona,learn by doing|polyx|polytechnic experience|hands on learning|polytechnic|academics|general|cal poly pomona|tell me about cal poly pomona|can you tell me about cal poly pomona|what is cal poly pomona|information about cal poly pomona|cpp|tell me about cpp|can you tell me about cpp|what is cpp|polytechnic learning|tell me about polytechnic learning|can you tell me about polytechnic learning|what is polytechnic learning|information about polytechnic learning,Hands-on learning focus,"Cal Poly Pomona emphasizes The CPP Polytechnic Experience, or PolyX, with hands-on learning inside and outside the classroom and a learn-by-doing approach.",polytechnic|learn-by-doing|academics|general
13,Southern California Campus,general,-1,Cal Poly Pomona,pomona|southern california|los angeles area|dtla|mountains|beaches|location|general|cal poly pomona|tell me about cal poly pomona|can you tell me about cal poly pomona|what is cal poly pomona|information about cal poly pomona|cpp|tell me about cpp|can you tell me about cpp|what is cpp|southern california campus|tell me about southern california campus|can you tell me about southern california campus|what is southern california campus|information about southern california campus,Southern California location,"Cal Poly Pomona describes its location as a sunny Southern California campus with access to mountains, beaches, and Downtown Los Angeles.",location|southern-california|pomona|general
